Strain Identifier	Strain name	Evolution Experiment?	Parental Strain	Alternative Strain Name	Full Strain Name After Genome Analysis	ENA Accession	Alternative Genome Source	Reference (PMID)	Isolation origin	Year	Phenotype	German BSL level	Notes
NT12680	1062A	1	NT12705		Escherichia coli NT12680	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12681	1062B	1	NT12705		Escherichia coli NT12681	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12682	1063A	1	NT12705		Escherichia coli NT12682	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12683	1063B	1	NT12705		Escherichia coli NT12683	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12684	1064A	1	NT12705		Escherichia coli NT12684	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12685	1064B	1	NT12705		Escherichia coli NT12685	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12686	1065A	1	NT12705		Escherichia coli NT12686	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12687	1065B	1	NT12705		Escherichia coli NT12687	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12688	1066A	1	NT12705		Escherichia coli NT12688	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12689	1066B	1	NT12705		Escherichia coli NT12689	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12690	1067A	1	NT12705		Escherichia coli NT12690	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12691	1067B	1	NT12705		Escherichia coli NT12691	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12692	1164A	1	NT12704		Escherichia coli NT12692	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12693	1164B	1	NT12704		Escherichia coli NT12693	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12694	1165A	1	NT12704		Escherichia coli NT12694	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12695	2K4	1	NT12704			PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12696	1166A	1	NT12704		Escherichia coli NT12696	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12697	1166B	1	NT12704		Escherichia coli NT12697	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12698	1167A	1	NT12704		Escherichia coli NT12698	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12699	1167B	1	NT12704		Escherichia coli NT12699	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12700	1168A	1	NT12704		Escherichia coli NT12700	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12701	1168B	1	NT12704		Escherichia coli NT12701	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12702	1169A	1	NT12704		Escherichia coli NT12702	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12703	1169B	1	NT12704		Escherichia coli NT12703	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12704	606	0			Escherichia coli B str. REL606	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Derivation of B		Laboratory strain	1	
NT12705	607	0			Escherichia coli B str. REL607	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Derivation of REL606		Laboratory strain	1	
NT12706	1158A	1	NT12705		Escherichia coli NT12706	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12707	1158C	1	NT12705		Escherichia coli NT12707	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12708	1159A	1	NT12705		Escherichia coli NT12708	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12709	1159B	1	NT12705		Escherichia coli NT12709	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12710	1160A	1	NT12705		Escherichia coli NT12710	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12711	1160B	1	NT12705		Escherichia coli NT12711	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12712	1161A	1	NT12705		Escherichia coli NT12712	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12713	1161B	1	NT12705		Escherichia coli NT12713	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12714	1162A	1	NT12705		Escherichia coli NT12714	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12715	1162B	1	NT12705		Escherichia coli NT12715	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12716	1163A	1	NT12705		Escherichia coli NT12716	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12717	1163B	1	NT12705		Escherichia coli NT12717	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12718	2179A	1	NT12704		Escherichia coli NT12718	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12719	2179B	1	NT12704		Escherichia coli NT12719	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12720	2180A	1	NT12704		Escherichia coli NT12720	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12721	2180B	1	NT12704		Escherichia coli NT12721	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12722	2181A	1	NT12704		Escherichia coli NT12722	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12723	ZDB409	1	NT12704		Escherichia coli NT12723	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12724	2182A	1	NT12704		Escherichia coli NT12724	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12725	2182B	1	NT12704		Escherichia coli NT12725	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12726	2183A	1	NT12704		Escherichia coli NT12726	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12727	2183B	1	NT12704		Escherichia coli NT12727	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12728	2184A	1	NT12704		Escherichia coli NT12728	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12729	2184B	1	NT12704		Escherichia coli NT12729	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12730	2173A	1	NT12705		Escherichia coli NT12730	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12731	2173B	1	NT12705		Escherichia coli NT12731	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12732	2174A	1	NT12705		Escherichia coli NT12732	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12733	2174B	1	NT12705		Escherichia coli NT12733	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12734	2175A	1	NT12705		Escherichia coli NT12734	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12735	2175B	1	NT12705		Escherichia coli NT12735	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12736	2176A	1	NT12705		Escherichia coli NT12736	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12737	2176B	1	NT12705		Escherichia coli NT12737	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12738	2177A	1	NT12705		Escherichia coli NT12738	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12739	2177B	1	NT12705		Escherichia coli NT12739	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12740	2178A	1	NT12705		Escherichia coli NT12740	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12741	2178B	1	NT12705		Escherichia coli NT12741	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12742	4536A	1	NT12704		Escherichia coli NT12742	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12743	4536B	1	NT12704		Escherichia coli NT12743	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12744	4537A	1	NT12704		Escherichia coli NT12744	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12745	4537B	1	NT12704		Escherichia coli NT12745	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12746	4538A	1	NT12704		Escherichia coli NT12746	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12747	ZDB429	1	NT12704		Escherichia coli NT12747	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12748	4539A	1	NT12704		Escherichia coli NT12748	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12749	4539B	1	NT12704		Escherichia coli NT12749	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12750	4540A	1	NT12704		Escherichia coli NT12750	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12751	4540B	1	NT12704		Escherichia coli NT12751	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12752	4541A	1	NT12704		Escherichia coli NT12752	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12753	4541B	1	NT12704		Escherichia coli NT12753	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12754	4530A	1	NT12705		Escherichia coli NT12754	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12755	4530B	1	NT12705		Escherichia coli NT12755	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12756	4531A	1	NT12705		Escherichia coli NT12756	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12757	4531B	1	NT12705		Escherichia coli NT12757	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12758	4532A	1	NT12705		Escherichia coli NT12758	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12759	4532B	1	NT12705		Escherichia coli NT12759	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12760	4533A	1	NT12705		Escherichia coli NT12760	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12761	4533B	1	NT12705		Escherichia coli NT12761	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12762	4534A	1	NT12705		Escherichia coli NT12762	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12763	4534B	1	NT12705		Escherichia coli NT12763	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12764	4535A	1	NT12705		Escherichia coli NT12764	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12765	4535B	1	NT12705		Escherichia coli NT12765	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12766	7177A	1	NT12704		Escherichia coli NT12766	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12767	7177B	1	NT12704		Escherichia coli NT12767	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12768	7178A	1	NT12704		Escherichia coli NT12768	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12769	7178B	1	NT12704		Escherichia coli NT12769	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12770	7179A	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12771	7179B	1	NT12704		Escherichia coli NT12771	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12772	7180A	1	NT12704		Escherichia coli NT12772	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12773	7180B	1	NT12704		Escherichia coli NT12773	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12774	7181A	1	NT12704		Escherichia coli NT12774	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12775	7181B	1	NT12704		Escherichia coli NT12775	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12776	7182A	1	NT12704		Escherichia coli NT12776	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12777	7182B	1	NT12704		Escherichia coli NT12777	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12778	7183A	1	NT12705		Escherichia coli NT12778	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12779	7183B	1	NT12705		Escherichia coli NT12779	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12780	7184A	1	NT12705		Escherichia coli NT12780	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12781	7184B	1	NT12705		Escherichia coli NT12781	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12782	7185A	1	NT12705		Escherichia coli NT12782	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12783	7185B	1	NT12705		Escherichia coli NT12783	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12784	7186A	1	NT12705		Escherichia coli NT12784	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12785	7186B	1	NT12705		Escherichia coli NT12785	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12786	7187A	1	NT12705		Escherichia coli NT12786	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12787	7187B	1	NT12705		Escherichia coli NT12787	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12788	7188A	1	NT12705		Escherichia coli NT12788	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12789	7188B	1	NT12705		Escherichia coli NT12789	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12790	8593A	1	NT12704		Escherichia coli NT12790	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12791	8593B	1	NT12704		Escherichia coli NT12791	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12792	20KS1	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12793	20KLA	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12794	ZDB458	1	NT12704		Escherichia coli NT12794	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12795	ZDB464	1	NT12704		Escherichia coli NT12795	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12796	8596A	1	NT12704		Escherichia coli NT12796	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12797	8596B	1	NT12704		Escherichia coli NT12797	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12798	8597A	1	NT12704		Escherichia coli NT12798	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12799	8597B	1	NT12704		Escherichia coli NT12799	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12800	8598A	1	NT12704		Escherichia coli NT12800	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12801	8598B	1	NT12704		Escherichia coli NT12801	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12802	9282A	1	NT12705		Escherichia coli NT12802	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12803	9282B	1	NT12705		Escherichia coli NT12803	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12804	8601A	1	NT12705		Escherichia coli NT12804	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12805	8601B	1	NT12705		Escherichia coli NT12805	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12806	8602A	1	NT12705		Escherichia coli NT12806	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12807	8602B	1	NT12705		Escherichia coli NT12807	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12808	8603A	1	NT12705		Escherichia coli NT12808	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12809	8603B	1	NT12705		Escherichia coli NT12809	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12810	8604A	1	NT12705		Escherichia coli NT12810	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12811	8604B	1	NT12705		Escherichia coli NT12811	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12812	8605A	1	NT12705		Escherichia coli NT12812	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12813	8605B	1	NT12705		Escherichia coli NT12813	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12814	10391	1	NT12704		Escherichia coli NT12814	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12815	10392	1	NT12704		Escherichia coli NT12815	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12816	30KS1	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12817	30KL1	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12818	ZDB16	1	NT12704		Escherichia coli NT12818	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12819	ZDB357	1	NT12704		Escherichia coli NT12819	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12820	10401	1	NT12704		Escherichia coli NT12820	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12821	10402	1	NT12704		Escherichia coli NT12821	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12822	10404	1	NT12704		Escherichia coli NT12822	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12823	10405	1	NT12704		Escherichia coli NT12823	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12824	10447	1	NT12704		Escherichia coli NT12824	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12825	10448	1	NT12704		Escherichia coli NT12825	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12826	10450	1	NT12705		Escherichia coli NT12826	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12827	10451	1	NT12705		Escherichia coli NT12827	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12828	10407	1	NT12705		Escherichia coli NT12828	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12829	10408	1	NT12705		Escherichia coli NT12829	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12830	10410	1	NT12705		Escherichia coli NT12830	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12831	10411	1	NT12705		Escherichia coli NT12831	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12832	10414	1	NT12705		Escherichia coli NT12832	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12833	10415	1	NT12705		Escherichia coli NT12833	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12834	10432	1	NT12705		Escherichia coli NT12834	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12835	10433	1	NT12705		Escherichia coli NT12835	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12836	10417	1	NT12705		Escherichia coli NT12836	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12837	10418	1	NT12705		Escherichia coli NT12837	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12838	10938	1	NT12704		Escherichia coli NT12838	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12839	10939	1	NT12704		Escherichia coli NT12839	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12840	11035(L)	1	NT12704		Escherichia coli NT12840	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12841	11036(S)	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12842	10988	1	NT12704		Escherichia coli NT12842	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12843	10979	1	NT12704		Escherichia coli NT12843	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12844	10944	1	NT12704		Escherichia coli NT12844	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12845	10945	1	NT12704		Escherichia coli NT12845	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12846	10947	1	NT12704		Escherichia coli NT12846	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12847	10948	1	NT12704		Escherichia coli NT12847	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12848	11005	1	NT12704		Escherichia coli NT12848	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12849	11006	1	NT12704		Escherichia coli NT12849	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12850	11008	1	NT12705		Escherichia coli NT12850	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12851	11009	1	NT12705		Escherichia coli NT12851	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12852	10950	1	NT12705		Escherichia coli NT12852	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12853	10951	1	NT12705		Escherichia coli NT12853	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12854	10953	1	NT12705		Escherichia coli NT12854	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12855	10954	1	NT12705		Escherichia coli NT12855	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12856	10956	1	NT12705		Escherichia coli NT12856	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
